,Air_temperature_[K],Process_temperature_[K],Rotational_speed_[rpm],Torque_[Nm],Tool_wear_[min],Temp_Delta,Power_[W],Wear_per_Torque,Speed_Torque_Ratio,Type_H,Type_L,Type_M,Machine_failure
53,298.7,309,1565,35.1,152,10.3,5752.413228,4.330483097,44.58688188,0,1,0,0
54,298.7,309,1691,30.1,154,10.3,5330.141288,5.11627737,56.17938333,0,1,0,0
55,298.8,309.1,1512,40.7,156,10.3,6444.286178,3.832922891,37.14986802,0,1,0,0
56,298.8,309.1,1477,42.4,158,10.3,6558.05372,3.726414215,34.83489744,0,1,0,0
57,298.8,309.1,1513,40.3,160,10.3,6385.171877,3.97022234,37.543415,0,1,0,0
58,298.8,309,1661,29.5,162,10.2,5131.215641,5.491523562,56.30506566,0,0,1,0
59,298.8,309.1,1378,54.4,165,10.3,7850.127947,3.033087678,25.3308777,0,1,0,0
60,298.8,309.1,1393,52.6,167,10.3,7673.004953,3.174904339,26.4828847,0,1,0,0
61,298.8,309,1592,38.2,169,10.2,6368.469076,4.424082611,41.67538176,0,0,1,0
62,298.8,309,1829,22.9,172,10.2,4386.092695,7.510913751,79.86896076,0,1,0,0
63,298.9,309,1812,25.9,174,10.1,4914.581884,6.718144124,69.96136295,0,0,1,0
64,299,309.1,1523,38.6,177,10.1,6156.24402,4.58549104,39.45594833,0,1,0,0
65,299,309.1,1394,45.1,179,10.1,6583.668173,3.968956991,30.90908406,0,1,0,0
66,298.9,308.9,1679,28.7,181,10,5046.162256,6.306618012,58.50172178,0,0,1,0
67,298.8,308.9,1466,44.1,184,10.1,6770.195,4.172334655,33.24262285,1,0,0,0
68,298.8,308.9,1527,32.4,189,10.1,5180.988941,5.833331533,47.12961508,0,1,0,0
69,298.9,309,1410,65.7,191,10.1,9700.923955,2.907153287,21.46118395,0,1,0,1
70,298.9,309,1924,22.6,193,10.1,4553.46628,8.53981923,85.13270569,0,0,1,0
71,298.9,309.1,1452,45.5,196,10.2,6918.415342,4.307691361,31.9120809,0,1,0,0
72,298.9,309.1,1369,44.4,198,10.2,6365.243707,4.459458455,30.83332639,0,1,0,0
73,299,309.1,1592,35,200,10.1,5834.984755,5.714284082,45.48570129,0,1,0,0
74,298.9,309,1601,32.3,202,10.1,5415.299393,6.253868033,49.56654812,0,1,0,0
75,298.8,308.9,1379,46.7,204,10.1,6743.878926,4.368307416,29.5289016,0,1,0,0
76,298.8,308.9,1461,47.9,206,10.1,7328.487431,4.300625407,30.50103747,0,1,0,0
77,298.8,308.9,1455,41.3,208,10.1,6292.767165,5.036318393,35.23001568,0,1,0,1
78,298.8,308.9,1398,51.5,0,10.1,7539.508209,0,27.1456258,0,1,0,0
79,298.8,308.9,1402,37.9,2,10.1,5564.367964,0.052770435,36.99207467,0,1,0,0
80,298.8,308.8,1445,49.9,4,10,7550.870303,0.080160305,28.95791003,1,0,0,0
81,298.9,308.9,1450,47.5,9,10,7212.573134,0.189473644,30.52630936,0,1,0,0
82,298.9,308.9,1453,40.8,11,10,6208.038411,0.269607777,35.61273637,0,1,0,0
83,299,309,1469,40.1,13,10,6168.716143,0.324189445,36.63340732,0,1,0,0
84,298.9,308.9,1422,47.6,15,10,7088.187009,0.315125984,29.8739433,0,1,0,0
85,299,309,1804,26.8,17,10,5062.906945,0.634328122,67.31340772,0,0,1,0
86,299,309,1436,43.9,20,10,6601.575251,0.455580762,32.7106987,1,0,0,0
87,299,309,1544,31.8,25,10,5141.656201,0.786163275,48.55344385,0,1,0,0
88,299,309,1419,45.2,27,10,6716.59943,0.597345001,31.39379836,0,0,1,0
89,298.9,308.9,1487,39.5,30,10,6150.871897,0.759493479,37.64556009,0,0,1,0
90,298.9,308.9,1753,25.8,33,10,4736.202253,1.279069272,67.9457101,0,1,0,0
91,298.9,308.9,1830,24.9,35,10,4771.765082,1.405621925,73.49394639,0,1,0,0
92,298.9,308.9,1727,27.1,37,10,4901.062563,1.365313149,63.72691375,0,0,1,0
93,299.1,309,1450,43,40,9.9,6529.276732,0.930232342,33.72092239,0,1,0,0
94,299,308.9,1622,31.9,42,9.9,5418.388625,1.316614007,50.84637905,0,1,0,0
95,299,309,1351,52.2,44,10,7385.067514,0.842911716,25.8812211,0,0,1,0
96,299,309,1575,35.3,47,10,5822.156585,1.331444382,44.6175511,0,0,1,0
97,298.9,308.9,1750,29.9,50,10,5479.461187,1.672240243,58.52840852,0,0,1,0
98,298.9,308.8,1529,32.7,53,9.9,5235.809732,1.620794611,46.75839549,0,1,0,0
99,298.8,308.8,1523,44.4,55,10,7081.275505,1.23873846,34.30179408,0,1,0,0
100,298.8,308.9,1852,25,57,10.1,4848.524662,2.279999088,74.07997037,0,1,0,0
101,298.8,308.8,1991,20.7,59,10,4315.888572,2.850240169,96.18352841,0,1,0,0
102,298.8,308.8,1555,40.6,61,10,6611.2723,1.502462684,38.30048318,0,1,0,0
103,298.8,308.8,1441,40.5,63,10,6111.497269,1.555555171,35.58023813,0,0,1,0
104,298.8,308.7,1450,43.4,66,9.9,6590.01419,1.520736977,33.41013055,0,1,0,0
105,298.8,308.7,1591,31.1,68,9.9,5181.543955,2.186494474,51.15753982,0,1,0,0
106,298.8,308.7,1445,48.5,70,9.9,7339.022238,1.443298671,29.79380829,0,1,0,0
107,298.8,308.8,1497,46.8,72,10,7336.624156,1.53846121,31.98717265,0,0,1,0
108,298.9,308.8,1621,32.7,75,9.9,5550.848644,2.29357728,49.57185028,1,0,0,0
109,298.9,308.7,1572,34.1,80,9.8,5613.523417,2.346040368,46.09969323,0,1,0,0
110,298.8,308.6,1872,22.5,82,9.8,4410.796086,3.644442825,83.19996302,0,1,0,0
111,298.7,308.6,1499,43.5,84,9.9,6828.408712,1.931034039,34.45976219,1,0,0,0
112,298.8,308.7,1498,39.5,89,9.9,6196.37263,2.253163987,37.92404103,0,0,1,0
113,298.8,308.6,1486,41.9,92,9.8,6520.208001,2.195703533,35.46538533,0,0,1,0
114,298.8,308.6,1680,29.4,95,9.8,5172.318145,3.231291418,57.14283771,0,1,0,0
115,298.8,308.6,1431,45.7,97,9.8,6848.32641,2.122537829,31.31290343,0,1,0,0
116,298.9,308.7,1564,34.1,99,9.8,5584.955868,2.903224955,45.86508919,0,1,0,0
117,298.8,308.6,1599,33,101,9.8,5525.747318,3.060605133,48.45453077,0,1,0,0
118,298.8,308.6,1707,28.1,103,9.8,5023.061078,3.665479123,60.74730934,0,0,1,0
119,298.7,308.5,1467,40.7,106,9.8,6252.491947,2.604421965,36.04421719,0,1,0,0
120,298.9,308.7,1433,44.7,108,9.8,6707.834386,2.416106842,32.05815838,0,1,0,0
121,298.9,308.7,1558,41.2,110,9.8,6721.919193,2.669902265,37.8155248,0,1,0,0
122,299,308.8,1310,50.7,112,9.8,6955.171976,2.209072543,25.8382592,0,1,0,0
123,298.9,308.7,1546,43.4,114,9.8,7026.318577,2.626727505,35.62211161,0,1,0,0
124,298.9,308.7,1727,29.4,116,9.8,5317.019902,3.945576889,58.74147662,0,1,0,0
125,298.9,308.6,1560,32.2,118,9.7,5260.282739,3.664595135,48.44718992,0,1,0,0
126,299,308.6,1329,60.5,120,9.6,8419.939551,1.983470747,21.96693852,0,1,0,0
127,298.9,308.6,1413,46.5,122,9.7,6880.55915,2.62365535,30.38709024,0,1,0,0
128,299,308.6,1587,38.6,124,9.6,6414.943703,3.212434401,41.11397899,0,1,0,0
129,298.9,308.5,1559,34.3,126,9.6,5599.752769,3.673468317,45.45188179,0,1,0,0
130,298.8,308.4,1473,41.1,128,9.6,6339.765391,3.114354473,35.83940734,0,1,0,0
131,298.8,308.4,1737,27.7,130,9.6,5038.580546,4.6931391,62.70755859,0,1,0,0
132,298.7,308.4,1441,43.2,132,9.7,6518.93042,3.055554848,33.35647376,0,0,1,0
133,298.7,308.4,1430,49.6,135,9.7,7427.562791,2.721773645,28.83063935,0,0,1,0
134,298.8,308.4,1369,53,138,9.6,7598.151272,2.603773094,25.83018381,0,1,0,0
135,298.8,308.5,1711,28.5,140,9.7,5106.501779,4.912278978,60.03506665,0,0,1,0
136,298.7,308.5,1420,45.7,143,9.8,6795.683789,3.12910216,31.07220327,1,0,0,0
137,298.7,308.6,1297,55.3,148,9.9,7510.930188,2.676310547,23.45388364,0,1,0,0
138,298.8,308.6,1449,49.4,150,9.8,7495.902903,3.036436632,29.33197787,1,0,0,0
139,298.8,308.6,1268,55.8,155,9.8,7409.383442,2.77777728,22.72401026,0,1,0,0
140,298.8,308.6,1511,36.1,157,9.8,5712.158954,4.349029266,41.85594408,0,1,0,0
141,298.7,308.5,1544,35.2,159,9.8,5691.393027,4.517044171,43.8636239,0,1,0,0
142,298.6,308.4,1778,28.2,161,9.8,5250.606634,5.709217834,63.04962303,0,0,1,0
143,298.6,308.4,1407,50.5,164,9.8,7440.70512,3.247524109,27.86138062,1,0,0,0
144,298.6,308.4,1391,42.4,169,9.8,6176.203605,3.985848117,32.80659604,0,0,1,0
145,298.5,308.4,1513,33.6,172,9.9,5323.617247,5.119046096,45.0297485,0,1,0,0
146,298.5,308.4,1612,36.1,174,9.9,6093.977654,4.819943263,44.65372724,1,0,0,0
147,298.4,308.4,1515,40.1,179,10,6361.882203,4.463839286,37.78053921,0,1,0,0
148,298.3,308.3,1379,48,181,10,6931.610031,3.770832548,28.72916068,0,0,1,0
149,298.4,308.3,1473,39.9,184,9.9,6154.662752,4.611527666,36.91728398,0,1,0,0
150,298.4,308.3,1422,42.7,186,9.9,6358.520699,4.355970877,33.30209993,0,1,0,0
151,298.4,308.2,1463,37.6,188,9.8,5760.508065,4.99999867,38.90956412,0,0,1,0
152,298.4,308.2,1584,41,191,9.8,6800.919776,4.658535449,38.63413692,0,0,1,0
153,298.4,308.2,1850,27,194,9.8,5230.751768,7.185182524,68.51849314,0,1,0,0
154,298.4,308.2,1528,36.2,196,9.8,5792.426647,5.414363145,42.20993309,0,1,0,0
155,298.4,308.2,1987,19.8,198,9.8,4119.947438,9.999994949,100.3534847,1,0,0,0
156,298.4,308.1,1495,46,203,9.7,7201.57756,4.413042519,32.49999293,0,0,1,0
157,298.4,308.2,1478,43.5,206,9.8,6732.747216,4.735631095,33.97700368,1,0,0,0
158,298.4,308.2,1499,40,211,9.8,6278.996517,5.274998681,37.47499063,0,0,1,0
159,298.4,308.2,1471,47,214,9.8,7240.00971,4.553190521,31.29786568,0,1,0,0
160,298.4,308.2,1282,60.7,216,9.8,8149.019072,3.558483763,21.12026011,0,1,0,1
161,298.3,308.1,1412,52.3,218,9.8,7733.302588,4.168259241,26.99808279,0,1,0,1
162,298.3,308.1,1586,35.5,0,9.8,5896.036373,0,44.67604375,0,1,0,0
163,298.4,308.2,1468,43.8,2,9.8,6733.312703,0.04566209,33.51597408,0,0,1,0
164,298.5,308.3,1440,43.6,5,9.8,6574.725105,0.114678873,33.02751536,0,0,1,0
165,298.5,308.4,1733,26,8,9.9,4718.462726,0.307692189,66.65382052,0,1,0,0
166,298.4,308.2,1612,32.6,10,9.8,5503.148795,0.306748372,49.44783759,1,0,0,0
167,298.4,308.3,1458,42.9,15,9.9,6550.032187,0.349650268,33.98600606,1,0,0,0
168,298.4,308.3,1433,62.3,20,9.9,9348.950386,0.321027236,23.00160144,0,1,0,1
169,298.4,308.3,1318,59.1,22,9.9,8157.019661,0.37225036,22.30118066,0,1,0,0
170,298.4,308.2,1610,35,24,9.8,5900.958201,0.68571409,45.99998686,0,0,1,0
171,298.2,308.1,1462,50.8,27,9.9,7777.494325,0.531495958,28.77952189,0,1,0,0
172,298.1,308,1924,20.8,29,9.9,4190.800824,1.394230099,92.49995553,0,0,1,0
173,298.2,308,1591,33.7,32,9.8,5614.727694,0.949554614,47.21066848,0,0,1,0
174,298.2,308.1,1306,58.3,35,9.9,7973.341211,0.60034295,22.40136837,0,1,0,0
175,298.2,308.1,1382,43.5,37,9.9,6295.437519,0.850574517,31.77010764,0,1,0,0
176,298.2,308.1,1618,34.7,39,9.9,5879.448763,1.123918984,46.62822864,0,1,0,0
177,298.2,308.2,1988,21.4,41,10,4455.113486,1.915886955,92.89715285,0,1,0,0
178,298.2,308.2,1436,50.2,43,10,7548.953931,0.856573535,28.60557199,0,1,0,0
179,298.2,308.3,1304,49.8,45,10.1,6800.417122,0.903614276,26.1847337,0,1,0,0
180,298.2,308.3,1475,49.9,47,10.1,7707.635776,0.941883579,29.55911231,0,1,0,0
181,298.2,308.3,1824,24.2,49,10.1,4622.413767,2.024792552,75.37186968,1,0,0,0
182,298.1,308.2,1342,48.1,54,10.1,6759.681137,1.122660889,27.9002021,0,0,1,0
183,298.1,308.2,1485,40.7,57,10.1,6329.20964,1.400491056,36.48647752,0,1,0,0
184,298.2,308.2,1667,30.6,59,10,5341.775653,1.928103945,54.47710638,0,1,0,0
185,298.2,308.2,1446,38.2,61,10,5784.426057,1.596858221,37.85339323,0,1,0,0
186,298.1,308.3,1301,56,63,10.2,7629.462479,1.124999799,23.23213871,0,1,0,0
187,298.2,308.4,1379,43.1,65,10.2,6224.008174,1.5081203,31.99535221,0,1,0,0
188,298.3,308.5,1606,33.6,67,10.2,5650.845538,1.994047026,47.79760482,0,1,0,0
189,298.3,308.4,1539,43.4,69,10.1,6994.504716,1.589861385,35.46082132,0,0,1,0
190,298.2,308.4,1477,49.9,72,10.2,7718.086808,1.442885482,29.59919247,0,1,0,0
191,298.2,308.4,1666,34.6,74,10.2,6036.423676,2.138727706,48.1502751,0,1,0,0
192,298.2,308.4,1398,51.8,76,10.2,7583.427675,1.467181184,26.98841178,1,0,0,0
193,298.2,308.4,1678,34.6,81,10.2,6079.903319,2.341039786,48.49709581,1,0,0,0
194,298.2,308.5,2678,10.7,86,10.3,3000.702695,8.037375666,250.2801399,0,0,1,1
195,298.3,308.5,1453,42.9,89,10.2,6527.5698,2.074591591,33.86945597,0,1,0,0
196,298.3,308.6,1432,49.5,91,10.3,7422.955122,1.838383467,28.92928708,1,0,0,0
197,298.4,308.6,1527,40.9,96,10.2,6540.199002,2.34718769,37.3349542,0,0,1,0
198,298.4,308.7,1588,35,99,10.3,5820.32399,2.82857062,45.37141561,0,1,0,0
199,298.4,308.6,1433,47.1,101,10.2,7067.986568,2.144373218,30.42462199,0,1,0,0
200,298.4,308.6,1609,35,103,10.2,5897.29301,2.942856302,45.97141544,0,1,0,0
201,298.3,308.5,1575,41.2,105,10.2,6795.26491,2.548543071,38.22814606,0,1,0,0
202,298.4,308.5,1636,35.7,107,10.1,6116.178242,2.99719804,45.8263177,0,0,1,0
203,298.4,308.5,1490,37.9,110,10.1,5913.629291,2.902373904,39.3139738,0,1,0,0
204,298.4,308.5,1741,32.8,112,10.1,5980.000672,3.414633105,53.07925211,0,1,0,0
205,298.5,308.6,1344,53,114,10.1,7459.397597,2.15094299,25.35848578,0,0,1,0
206,298.5,308.7,1609,35.3,117,10.2,5947.841235,3.314446653,45.58072363,0,1,0,0
207,298.4,308.7,1421,60.7,119,10.3,9032.571062,1.960460962,23.41021031,0,0,1,1
208,298.4,308.6,1591,36.7,122,10.2,6114.555086,3.324249775,43.35148683,0,1,0,0
209,298.4,308.6,1477,44,124,10.2,6805.527446,2.818181178,33.56817419,0,1,0,0
210,298.4,308.7,1523,36.1,126,10.3,5757.523552,3.490303742,42.18835396,0,1,0,0
211,298.5,308.7,1575,33.9,128,10.2,5591.249525,3.775810096,46.46016329,0,1,0,0
212,298.4,308.7,1344,52.9,130,10.3,7445.323262,2.457466454,25.40642242,1,0,0,0
213,298.4,308.7,1386,44.9,135,10.3,6516.856969,3.006680845,30.86859001,0,1,0,0
214,298.3,308.6,1589,37.1,137,10.3,6173.428532,3.692721377,42.83017713,0,0,1,0
215,298.3,308.6,1548,40.3,140,10.3,6532.879091,3.473944547,38.41190114,0,1,0,0
216,298.3,308.6,1499,38.3,142,10.3,6012.139165,3.707570834,39.13837098,0,1,0,0
217,298.3,308.5,1664,31.6,144,10.2,5506.416052,4.556960583,52.65821118,0,1,0,0
218,298.3,308.6,1447,38.1,146,10.3,5773.273404,3.832019992,37.97899266,0,1,0,0
219,298.3,308.5,1434,46.2,148,10.2,6937.767552,3.20346251,31.03895432,0,0,1,0
220,298.3,308.5,1416,52.7,151,10.2,7814.52323,2.865274599,26.86906511,0,1,0,0
221,298.4,308.5,1827,24.3,153,10.1,4649.14872,6.296293705,75.18515424,1,0,0,0
222,298.4,308.6,1304,45,158,10.2,6144.95523,3.511110331,28.97777134,0,1,0,0
223,298.4,308.6,1569,34.4,160,10.2,5652.102175,4.651161439,45.61045186,0,1,0,0
224,298.3,308.6,1584,29.3,162,10.3,4860.169499,5.529008352,54.061415,0,1,0,0
225,298.3,308.5,1362,53.8,164,10.2,7673.402888,3.048326571,25.31598042,0,1,0,0
226,298.3,308.4,1329,49.2,166,10.1,6847.289684,3.373983054,27.01218963,0,1,0,0
227,298.3,308.5,1539,36.1,168,10.2,5818.009683,4.653738323,42.63156714,0,1,0,0
228,298.3,308.5,1629,37.1,170,10.2,6328.832648,4.582209007,43.90834396,0,0,1,0
229,298.3,308.5,1538,32.2,173,10.2,5186.099265,5.372669139,47.76396032,0,1,0,0
230,298.3,308.6,1570,34.8,175,10.3,5721.468541,5.028734187,45.11492956,0,1,0,0
231,298.3,308.4,1408,43.1,177,10.1,6354.897395,4.106727585,32.66820588,0,1,0,0
232,298.2,308.4,1424,47.6,179,10.2,7098.156329,3.760503412,29.9159601,0,1,0,0
233,298.2,308.4,1512,34.9,181,10.2,5525.935814,5.186244932,43.32376982,0,1,0,0
234,298.2,308.4,1478,42.9,183,10.2,6639.881737,4.265733271,34.45220642,0,1,0,0
235,298.1,308.3,1680,33.7,185,10.2,5928.813656,5.489612614,49.85161725,0,0,1,0
236,298.1,308.3,1495,38.7,188,10.2,6058.718512,4.857879882,38.63048097,0,1,0,0
237,298,308.1,1552,36.6,190,10.1,5948.417194,5.191255412,42.40436,0,0,1,0
238,297.9,308.1,1393,50.3,193,10.2,7337.49333,3.836977368,27.69383147,0,1,0,0
239,298,308.2,1611,30.6,195,10.2,5162.32788,6.372546937,52.64704162,0,1,0,0
240,298,308.1,1339,51.6,197,10.1,7235.339209,3.817828717,25.94960737,0,0,1,0
241,298,308.1,1777,24.3,200,10.1,4521.914218,8.230449288,73.12754192,0,1,0,0
242,298,308.2,1348,58.8,202,10.2,8300.339118,3.435373565,22.92516617,0,1,0,1
243,298,308.2,1442,44.1,204,10.2,6659.359612,4.625849291,32.69840528,0,1,0,0
244,298,308.2,1395,49.1,206,10.2,7172.727267,4.195518494,28.41139951,0,0,1,0
245,297.9,308.1,1627,31.4,209,10.2,5349.901906,6.656048836,51.81527012,0,0,1,0
246,297.9,308.1,1585,33.5,212,10.2,5560.357197,6.32835632,47.31341871,0,1,0,0
247,298,308.2,1469,45.5,214,10.2,6999.416072,4.70329567,32.28570719,0,1,0,0
248,298,308.3,1362,56.8,216,10.3,8101.287808,3.802816232,23.97886902,0,1,0,1
249,298,308.3,1405,56.2,218,10.3,8268.776584,3.879002869,24.99999555,0,1,0,1
250,298,308.3,1662,32.7,0,10.3,5691.246419,0,50.82567253,0,1,0,0
251,298,308.2,1466,42.6,2,10.2,6539.916259,0.046948346,34.41313746,0,0,1,0
252,298,308.2,1620,35.8,5,10.2,6073.326918,0.139664765,45.25138401,0,1,0,0
253,298,308.2,1357,48.2,7,10.2,6849.446911,0.145228186,28.15352113,0,1,0,0
254,298,308.2,1514,37.9,9,10.2,6008.882381,0.237466956,39.94721901,0,1,0,0
255,298,308.2,1489,40.4,11,10.2,6299.479701,0.27227716,36.85642652,0,1,0,0
256,298.1,308.3,1331,63,13,10.2,8781.065626,0.206349174,21.12698077,0,1,0,0
257,298,308,1615,29.5,15,10,4989.110933,0.508474404,54.74574415,0,1,0,0
258,298.1,308.2,1482,37.9,17,10.1,5881.878262,0.448548694,39.10289206,0,1,0,0
259,298.1,308.2,1420,63.9,19,10.1,9502.06114,0.297339547,22.22221874,0,0,1,1
260,298.2,308.3,1522,49.1,22,10.1,7825.728244,0.448065082,30.99795703,0,0,1,0
261,298.1,308.2,1654,32.1,25,10.1,5559.927846,0.778815957,51.5264637,0,1,0,0
262,298.1,308.2,1736,26.8,27,10.1,4872.065663,1.007462311,64.77609523,0,0,1,0
263,298,308.1,1587,32.3,30,10.1,5367.945119,0.928792282,49.13311172,0,0,1,0
264,298.1,308.2,1390,47.5,33,10.1,6914.121832,0.694736696,29.26315173,0,1,0,0
265,298,308.1,1454,37.1,35,10.1,5648.939638,0.943395972,39.1913641,0,1,0,0
266,298,308.1,1440,43.7,37,10.1,6589.80475,0.846681728,32.95193754,1,0,0,0
267,297.9,308,1954,21.1,42,10.1,4317.532672,1.990520384,92.60659118,0,1,0,0
268,297.9,308,1800,24.8,44,10.1,4674.689869,1.774192833,72.58061589,1,0,0,0
269,298,308,1524,37,49,10,5904.937552,1.324323966,41.18917806,0,1,0,0
270,298,308,1520,39.6,51,10,6303.2915,1.287878463,38.38382869,1,0,0,0
271,298.1,308.1,1452,40.8,56,10,6203.765845,1.372548683,35.58822657,0,0,1,0
272,298.1,308.1,1484,40.4,59,10,6278.326311,1.460395678,36.73266418,0,1,0,0
273,298.1,308,1426,46,61,9.9,6869.197057,1.326086668,30.99999326,0,1,0,0
274,298.1,308,1652,28.5,63,9.9,4930.415511,2.21052554,57.96489194,0,1,0,0
275,298,308,1401,54.7,65,10,8025.167018,1.1882996,25.61242676,0,1,0,0
276,298,307.9,1750,26.6,67,9.9,4874.704601,2.518796046,65.78944895,0,0,1,0
277,298,308,1479,50.7,70,10,7852.442254,1.380670339,29.17159188,1,0,0,0
278,298,308,1620,29.4,75,10,4987.592497,2.55101954,55.10202207,0,0,1,0
279,298,308.1,1819,23.4,78,10.1,4457.354489,3.333331909,77.73500951,0,1,0,0
280,298.1,308.1,1456,43.7,80,10,6663.024803,1.830663197,33.31807018,0,0,1,0
281,298.1,308,1626,36.5,83,9.9,6215.012747,2.27397198,44.547933,0,1,0,0
282,298.1,308.1,1390,49.8,85,10,7248.910889,1.706826967,27.91164098,0,0,1,0
283,298.2,308.2,1469,43,88,10,6614.832772,2.046511152,34.16278275,0,1,0,0
284,298.2,308.3,2051,19.2,90,10.1,4123.780181,4.687497559,106.822861,0,1,0,0
285,298.2,308.3,1568,36,92,10.1,5911.220737,2.555554846,43.55554346,0,1,0,0
286,298.2,308.3,1589,33.2,94,10.1,5524.469737,2.831324448,47.86143137,0,1,0,0
